,rgi_id,t_star,mu_star,prcp_fac,bias,err_perc
0,RGI50-11.A13I04,,10.5,0.15000000000000002,0.0004501420286656908,-0.09680849981404913
0,RGI50-11.A13I05n,,1.0,0.05,0.007541835800479809,-0.5051992064490081
0,RGI50-11.A13J03-0,,32.0,0.5500000000000002,0.0003215882479591009,-0.09509933580515204
0,RGI50-11.A13K03,,55.75,2.45,0.2356890971586539,-2.159216397956977
0,RGI50-11.A13N01,,48.5,0.2500000000000001,2.7021268435742445e-08,-0.0015674785191254865
0,RGI50-11.A13N06-0,,51.0,0.5500000000000002,0.013049853362589056,-0.5145763728452425
0,RGI50-11.A13N06-1,,71.25,0.7500000000000002,0.004224889730358042,-0.2927889719209474
0,RGI50-11.A13N06-2,,65.25,0.7500000000000002,0.0068388440325052435,-0.3725103768433334
0,RGI50-11.A14D01,,30.5,0.35000000000000003,0.0004745483552911985,-0.08482256371507407
0,RGI50-11.A14D04,,32.25,1.6500000000000004,0.0017501318662010287,-0.4169697737423998
0,RGI50-11.A14D05,,5.25,0.15000000000000002,1.978380092311185e-05,0.11918270321285072
0,RGI50-11.A14D06,,47.5,0.4500000000000001,0.001141503926182477,-0.18088740719848756
0,RGI50-11.A14D21-0,,32.5,0.2500000000000001,1.8829588209737441e-06,-0.004892186769126246
0,RGI50-11.A14D21-1,,55.75,0.5500000000000002,0.0019632210338937028,-0.15796730784929405
0,RGI50-11.A14D21-2,,78.5,0.7000000000000001,0.0004966309677076196,-0.07945102710372214
0,RGI50-11.A14D21-3,,33.0,0.35000000000000003,4.270475946670575e-06,-0.007367510400145792
0,RGI50-11.A14D22-1,,42.75,0.35000000000000003,0.0002944731101253429,-0.07713844657511809
0,RGI50-11.A14D22-2,,10.5,0.05,0.0003942082348304408,-0.08925055249483252
0,RGI50-11.A14D22-3,,60.75,0.5500000000000002,0.00016202622213420714,-0.05721906015640715
0,RGI50-11.A14D22-4,,62.75,0.7500000000000002,0.00024956383877905593,-0.07101316933797702
0,RGI50-11.A14D23,,46.75,0.6500000000000001,0.00024486651482415336,-0.07310540170057749
0,RGI50-11.A14D24,,15.0,0.2500000000000001,0.002383043512057213,-0.253315482653264
0,RGI50-11.A14D26,,25.25,0.15000000000000002,2.7352215711218963e-05,-0.03691892263174719
0,RGI50-11.A14D28n,,72.5,0.8500000000000002,0.005991260298762552,-0.9166654646693294
0,RGI50-11.A14E05-0,,32.0,0.9500000000000002,0.0001885590690989272,-0.18536286742646188
0,RGI50-11.A14E05-1,,70.0,1.8500000000000003,0.02379350986698575,-2.0822279985053997
0,RGI50-11.A14E05-2,,74.0,2.5500000000000003,0.0003228394365832352,-0.2425449946894042
0,RGI50-11.A14E05-3,,28.0,1.2500000000000002,3.493914091281696e-05,-0.07979122588516782
0,RGI50-11.A14E06n,,74.5,1.1500000000000004,5.8669238067058204e-05,-0.033079614420076266
0,RGI50-11.A14F04,,16.75,0.4500000000000001,0.0008332066785706371,-0.17467666959928074
0,RGI50-11.A14F05-0,,22.5,0.4500000000000001,4.660316925939536e-06,-0.03420657138008989
0,RGI50-11.A14F05-1,,75.75,1.3500000000000003,0.0008210311533997621,-0.4540269559373473
0,RGI50-11.A14F05-2,,5.25,0.15000000000000002,0.0034442395467416983,-0.9299262224968512
0,RGI50-11.A14F13-0,,21.0,0.5500000000000002,3.703701926248487e-05,-0.028596018861823114
0,RGI50-11.A14F13-1,,40.0,0.6500000000000001,0.00013224169907240468,-0.05403457891382892
0,RGI50-11.A14F13-2,,3.25,0.15000000000000002,0.0045939161457838286,-0.31847774750239416
0,RGI50-11.A14F13-3,,77.5,1.6500000000000004,4.661091634124375e-05,-0.032079780026401404
0,RGI50-11.A14F16-0,,77.25,2.0500000000000003,7.007271022071189e-05,-0.09830821379153963
0,RGI50-11.A14F16-1,,29.25,0.6500000000000001,0.004055466918806581,-0.7478866470043181
0,RGI50-11.A14F18,,11.0,0.35000000000000003,0.00066539298803784,-0.12400948272814345
0,RGI50-11.A14G12-0,,64.0,1.2500000000000002,7.163082879714812e-05,-0.05827652548381965
0,RGI50-11.A14G12-1,,26.0,0.6500000000000001,0.0005327568152854955,-0.15893083667778893
0,RGI50-11.A14G12-2,,73.25,1.2500000000000002,0.0003997836766444877,-0.13767535071769005
0,RGI50-11.A14G14-1,,54.75,2.0500000000000003,0.007672739734923078,-0.5925331554868374
0,RGI50-11.A14G14-2,,74.75,2.0500000000000003,0.0003444253572552341,-0.12554082602709354
0,RGI50-11.A14G19n-0,,46.5,1.1500000000000004,4.975384184595747e-05,-0.0401619331880349
0,RGI50-11.A14G19n-1,,33.25,1.0500000000000005,0.0005137749639655637,-0.1290588430062894
0,RGI50-11.A14G20n-0,,4.5,0.15000000000000002,1.1926342240049953e-05,-0.019913814256938646
0,RGI50-11.A14G20n-1,,78.25,2.2500000000000004,0.0005633359696856088,-0.13686252852355074
0,RGI50-11.A14H03-0,,75.5,1.6500000000000004,0.0016323972262525714,-0.6352662871351903
0,RGI50-11.A14H03-1,,54.75,1.4500000000000004,0.00012710878976515992,-0.17726813524644802
0,RGI50-11.A14H04-0,,72.25,1.3500000000000003,0.0022577440450970037,-0.3950754484731216
0,RGI50-11.A14H04-1,,29.75,0.7500000000000002,7.588804610505908e-05,-0.072431816117401
0,RGI50-11.A14H05-0,,64.25,1.6500000000000004,0.00030887628445746017,-0.12961779270810478
0,RGI50-11.A14H05-1,,16.25,0.2500000000000001,3.4810788654808783e-06,-0.013760343347672037
0,RGI50-11.A14H05-2,,36.75,1.0500000000000005,4.4456459509774357e-05,-0.04917447994447975
0,RGI50-11.A14H05-3,,37.5,0.5500000000000002,0.0002719775942637281,-0.12162949490983885
0,RGI50-11.A14H05-4,,54.25,0.9500000000000002,0.0002046269068765972,-0.10550030350891723
0,RGI50-11.A14H05-5,,10.25,0.2500000000000001,0.0028693440881524426,-0.3950605417732018
0,RGI50-11.A14H07n-0,,48.25,1.6500000000000004,0.0002783433799786994,-0.2452392489198715
0,RGI50-11.A14H07n-1,,31.5,1.3500000000000003,0.00032863218820765127,-0.26647383877085
0,RGI50-11.A14I02,,0.0,0.05,0.0002004853402029497,-0.08214948128111986
0,RGI50-11.A14I03-0,,39.25,0.7500000000000002,2.807711278791505e-06,-0.024144418646365132
0,RGI50-11.A14I03-1,,69.5,1.5500000000000005,6.6454328048081126e-06,-0.03714515415535582
0,RGI50-11.A14I04,,72.75,1.3500000000000003,0.006116701255734813,-0.4086172544894776
0,RGI50-11.A14I05,,69.5,1.0500000000000005,0.055481788291303916,-1.3790733279705545
0,RGI50-11.A14I06-1,,5.25,0.05,5.587091550718368e-06,-0.0212544099630814
0,RGI50-11.A14I09n-0,,66.75,0.8500000000000002,1.5232442999510574e-05,-0.013398133357413576
0,RGI50-11.A14I09n-1,,72.75,0.8500000000000002,0.001201991432320056,-0.11901732950777802
0,RGI50-11.A14J01-0,,70.75,1.3500000000000003,0.0020549954909892323,-0.2666434803450645
0,RGI50-11.A14J01-1,,71.25,1.1500000000000004,0.00030727637993430655,-0.10310746786465706
0,RGI50-11.A14J01-3,,34.75,0.5500000000000002,2.9032340193241442e-05,-0.031693233821663565
0,RGI50-11.A14J03-0,,10.0,0.15000000000000002,0.0013003602851762895,-0.2427172959882129
0,RGI50-11.A14J03-1,,34.0,0.35000000000000003,0.0004366364776609958,-0.14064648539758098
0,RGI50-11.A14J04,,8.25,0.15000000000000002,0.012236074358348469,-0.6227721573053856
0,RGI50-11.A14J06n,,68.0,1.5500000000000005,0.014268569170888748,-0.6699821427988653
0,RGI50-11.A14J08n,,9.0,0.2500000000000001,0.0002785189727928503,-0.1131066601415384
0,RGI50-11.A14J09n,,27.75,0.35000000000000003,0.0011926736064602956,-0.2370451429000068
0,RGI50-11.A14J10n-0,,2.5,0.15000000000000002,0.005692778480407608,-0.6820076246341937
0,RGI50-11.A14J10n-1,,13.25,0.2500000000000001,8.530684594072498e-05,-0.0834870335676052
0,RGI50-11.A14J10n-2,,58.25,0.6500000000000001,0.0006533185676021211,-0.23104128333300766
